name,species,longitude,latitude,year,base,sptdist_filter
"Marmosops incanus (Lund, 1840)",Marmosops incanus,-41.831787,-20.480428,2024,gbif,TRUE
"Marmosops incanus (Lund, 1840)",Marmosops incanus,-43.864444,-18.132778,2011,gbif,TRUE
"Marmosops incanus (Lund, 1840)",Marmosops incanus,-41.074607,-19.508492,2011,gbif,TRUE
BOLD:AAD2962,Marmosops incanus,-40.52,-20.28,2007,gbif,TRUE
"Marmosops incanus (Lund, 1840)",Marmosops incanus,-44.278444,-21.053,2003,gbif,TRUE
"Marmosops incanus (Lund, 1840)",Marmosops incanus,-47.419722,-23.71,2002,gbif,TRUE
"Marmosops incanus (Lund, 1840)",Marmosops incanus,-39.813694,-19.543444,2000,gbif,TRUE
"Marmosops incanus (Lund, 1840)",Marmosops incanus,-42.650402,-19.71715,1996,gbif,TRUE
"Marmosops incanus (Lund, 1840)",Marmosops incanus,-42.767063,-17.133801,1996,gbif,TRUE
"Marmosops incanus (Lund, 1840)",Marmosops incanus,-39.00036,-15.350464,1996,gbif,TRUE
"Marmosops incanus (Lund, 1840)",Marmosops incanus,-48.416667,-24.333333,1994,gbif,TRUE
"Marmosops incanus (Lund, 1840)",Marmosops incanus,-45.9,-23.65,1994,gbif,TRUE
"Marmosops incanus (Lund, 1840)",Marmosops incanus,-48.75,-22.16667,1994,gbif,TRUE
"Marmosops incanus (Lund, 1840)",Marmosops incanus,-43.8575,-20.499722,1993,gbif,TRUE
"Marmosops incanus (Lund, 1840)",Marmosops incanus,-41.833333,-19.833333,1993,gbif,TRUE
BOLD:ABY4411,Marmosops incanus,-42.48,-20.71,1992,gbif,TRUE
"Marmosops incanus (Lund, 1840)",Marmosops incanus,-41.084083,-20.516583,1979,gbif,TRUE
Marmosops incanus,Marmosops incanus,-74.5813591852,-9.4708381371,2015,inat,TRUE
Marmosops incanus,Marmosops incanus,-70.2216475457,9.2453525097,2024,inat,TRUE
Marmosops incanus,Marmosops incanus,-73.8979941979,4.5536623908,2024,inat,TRUE
Marmosops incanus,Marmosops incanus,-42.0423018,-20.962873600000002,2023,inat,TRUE
Marmosops incanus,Marmosops incanus,-44.0003032951,-22.9274751993,2019,inat,TRUE
Marmosops incanus,Marmosops incanus,-43.4712866667,-19.99775,2021,inat,TRUE
Marmosops incanus,Marmosops incanus,-39.0564467758,-14.4172916153,2017,inat,TRUE
Marmosops incanus,Marmosops incanus,-40.1165673,-19.0076631,2011,inat,TRUE
Marmosops incanus,Marmosops incanus,-44.571885808,-19.2853052241,2021,inat,TRUE
Marmosops incanus,Marmosops incanus,-41.2613889,-12.8016667,1998,vertnet,TRUE
Marmosops incanus,Marmosops incanus,-42.2,-16.6,1998,vertnet,TRUE
Marmosops incanus,Marmosops incanus,-43.3833333,-18.15,1996,vertnet,TRUE
Marmosops incanus,Marmosops incanus,-41.366389,-21.064167,2002,vertnet,TRUE
Marmosops incanus,Marmosops incanus,-40.369722,-19.831944,2004,vertnet,TRUE
